,title,link
0,'Conspiracy to derail probe into rape-murder case': Mamata on BJP's Bengal Bandh call,https://timesofindia.com/city/kolkata/bengal-bandh-28th-august-live-updates-kolkata-rape-murder-rg-kar-hospital-nabanna-abhijan-bjp-west-bengal-mamata-banerjee-sandip-ghosh-sanjay-roy/liveblog/112851085.cms
1,'Proper lighting': Centre's directives for safety of doctors amid Kolkata rape-murder,https://timesofindia.com/india/proper-lighting-security-patrolling-centres-directives-for-safety-of-doctors-amid-kolkata-rape-murder-case/articleshow/112859284.cms
2,Lateral entry U-turn shows India is still living under the Raj,https://timesofindia.com/india/lateral-entry-u-turn-shows-india-is-still-living-under-the-raj/articleshow/112835524.cms
3,"Attempt to murder charge on Shivaji statue artist, contractor",https://timesofindia.com/city/mumbai/shivaji-statue-collapse-murder-bid-fir-against-2/articleshow/112847046.cms
4,‘Foxconn City’ similar to China coming up in India soon?,https://timesofindia.com/business/india-business/foxconn-city-similar-to-china-coming-up-in-india-soon-southern-states-vie-for-apples-iphone-makers-attention/articleshow/112859889.cms
5,'Virat and Rohit Sharma should visit Pakistan',https://timesofindia.com/sports/cricket/news/virat-kohli-and-rohit-sharma-should-visit-pakistan-before-retirement-says-kamran-akmal/articleshow/112859675.cms
6,Modi's loss is Rahul's gain as ‘mood of the nation’ shifts,https://timesofindia.com/india/modis-loss-is-rahuls-gain-as-mood-of-the-nation-shifts-a-bit-in-new-poll/articleshow/112837340.cms
7,"Zoho CEO Sridhar Vembu: I get called ""Sanghi"" & at least I am happy it is a ...",https://timesofindia.com/technology/tech-news/zoho-ceo-sridhar-vembu-i-get-called-sanghi-and-at-least-i-am-happy-it-is-a-/articleshow/112845297.cms
8,"SC reiterates 'bail is rule, jail is exception' while granting relief to Hemant Soren's close aide",https://timesofindia.com/india/sc-reiterates-bail-is-rule-jail-is-exception-grants-relief-to-hemant-sorens-close-aide/articleshow/112859388.cms
9,UP police station faces bulldozer action in drive to clear road,https://timesofindia.com/city/lucknow/up-police-station-faces-bulldozer-action-in-drive-to-clear-road/articleshow/112846875.cms
