,title,related_genres,genre
0,Deadpool & Wolverine,"[28, 35, 878]",533535
1,Inside Out 2,"[16, 10751, 12, 35]",1022789
2,Despicable Me 4,"[16, 10751, 35, 28]",519182
3,Bad Boys: Ride or Die,"[28, 80, 53, 35]",573435
4,The Union,"[28, 35]",704239
5,Jackpot!,"[35, 878]",1094138
6,Saving Bikini Bottom: The Sandy Cheeks Movie,"[16, 35, 12, 10751]",831815
7,The Garfield Movie,"[16, 35, 10751, 12, 28]",748783
8,The Instigators,"[80, 35, 28]",1059064
9,Incoming,[35],1008953
10,Kinds of Kindness,"[35, 18]",1029955
11,Mission: Cross,"[28, 35, 12]",1002088
12,Descendants: The Rise of Red,"[14, 12, 10751, 35]",974262
13,Beautiful Wedding,"[10749, 35, 18]",1096342
14,Thelma,"[28, 35, 12]",1051891
15,Sonic the Hedgehog 3,"[878, 10751, 35, 28]",939243
16,The Mouse Trap,"[27, 53, 35]",1225377
17,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",799583
18,Beetlejuice,"[14, 35]",4011
19,Breaking and Re-entering,"[28, 35]",1166073
20,Inside Out,"[16, 10751, 12, 18, 35]",150540
21,Fly Me to the Moon,"[10749, 35]",956842
22,Non Negotiable,"[28, 53, 35, 18]",1309923
23,Sonic the Hedgehog 3,"[878, 10751, 35, 28]",939243
24,Shimmy: The First Monkey King,"[28, 12, 16, 35, 14]",1085046
25,Nice Girls,"[35, 80, 28]",1180702
26,My Spy The Eternal City,"[28, 35]",1048241
27,We Are Zombies,"[27, 35, 53]",1139106
28,Migration,"[16, 28, 12, 35, 10751]",940551
29,Deadpool,"[28, 12, 35]",293660
30,Sonic the Hedgehog 2,"[28, 12, 10751, 35]",675353
31,Beverly Hills Cop: Axel F,"[28, 35, 80]",280180
32,The Super Mario Bros. Movie,"[16, 10751, 12, 14, 35]",502356
33,The Fall Guy,"[28, 35]",746036
34,Borderlands,"[28, 878, 35]",365177
35,The Roundup: No Way Out,"[28, 80, 35, 53]",955555
36,Deadpool 2,"[28, 35, 12]",383498
37,IF,"[35, 14, 10751]",639720
38,The Idea of You,"[10749, 18, 35]",843527
39,Harold and the Purple Crayon,"[12, 10751, 14, 35]",826510
40,The Supremes at Earl's All-You-Can-Eat,"[35, 18]",1002626
41,Escape from the 21st Century,"[878, 35]",1242372
42,Dagr,"[27, 35]",1208704
43,Barbie,"[35, 12]",346698
44,Puss in Boots: The Last Wish,"[16, 12, 14, 35, 10751]",315162
45,Elemental,"[16, 35, 10751, 14, 10749]",976573
46,Cocorico,[35],973912
47,May the 12th Be with You,"[16, 35]",1284004
48,Hit Man,"[80, 35, 10749]",974635
49,Wonka,"[35, 10751, 14]",787699
50,Sonic the Hedgehog,"[28, 878, 35, 10751]",454626
51,The Smoke Master,"[28, 35, 14]",950526
52,"Run, Tiger Run!","[16, 12, 35, 28, 10751]",931405
53,Moana 2,"[16, 12, 10751, 35]",1241982
54,Megamind vs. the Doom Syndicate,"[16, 35, 878]",1239251
55,Anyone But You,"[10749, 35]",1072790
56,Vassalord.,"[16, 28, 9648, 14, 35, 18, 27]",444483
57,Padre no hay más que uno 4: Campanas de boda,"[10751, 35]",1030076
58,The Gigolo,"[10749, 18, 35]",323260
59,Shrek,"[16, 35, 14, 12, 10751]",808
60,Dagr,"[27, 35]",1208704
61,Ghostbusters: Frozen Empire,"[14, 12, 35]",967847
62,Despicable Me,"[10751, 16, 35]",20352
63,No Time to Spy: A Loud House Movie,"[16, 28, 12, 35, 10751]",1280768
64,SPY x FAMILY CODE: White,"[16, 35, 12, 28]",1062807
65,Poor Things,"[878, 10749, 35]",792307
66,"Monsters, Inc.","[16, 35, 10751]",585
67,Ratatouille,"[16, 35, 10751, 14]",2062
68,White Chicks,"[35, 80]",12153
69,Toy Story,"[16, 12, 10751, 35]",862
70,V de Víctor,[35],1200978
71,The Infallibles,"[35, 28]",1143019
72,The Family Plan,"[28, 35]",1029575
73,Shrek 2,"[16, 10751, 35, 14, 12, 10749]",809
74,Big Hero 6,"[12, 10751, 16, 28, 35]",177572
75,A Chinese Torture Chamber Story,"[27, 35, 18]",32629
76,Toy Story 2,"[16, 35, 10751]",863
