,job_title,company,job_app_link
0,"
        Software Engineer - Early Career (2025)
          ","

            Figma
          
",https://www.linkedin.com/company/figma?trk=public_jobs_jserp-result_job-search-card-subtitle
1,"
            
        Software Engineer Intern (Summer 2025)
      
          ","

            Notion
          
",https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle
2,"
            
        Software Engineer Intern (Winter 2025)
      
          ","

            Notion
          
",https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle
3,"
            
        Software Engineer Intern, Mobile (Summer 2025)
      
          ","

            Notion
          
",https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle
4,"
            
        Software Engineer, Calendar
      
          ","

            Notion
          
",https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle
5,"
            
        Software Engineer (Full-Stack)
      
          ","

            Paces
          
",https://www.linkedin.com/company/pacesai?trk=public_jobs_jserp-result_job-search-card-subtitle
6,"
            
        Software Engineer, Search
      
          ","

            Notion
          
",https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle
7,"
            
        Software Engineer (Full-Stack)
      
          ","

            Paces
          
",https://www.linkedin.com/company/pacesai?trk=public_jobs_jserp-result_job-search-card-subtitle
8,"
            
        Software Engineer, Web
      
          ","

            UnitedMasters
          
",https://www.linkedin.com/company/unitedmasters?trk=public_jobs_jserp-result_job-search-card-subtitle
9,"
            
        Software Engineer Intern, Mobile (Winter 2025)
      
          ","

            Notion
          
",https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle
10,"
            
        Full Stack Engineer
      
          ","

            Porter
          
",https://www.linkedin.com/company/porterrun?trk=public_jobs_jserp-result_job-search-card-subtitle
11,"
            
        Software Engineer - Backend
      
          ","

            Plaid
          
",https://www.linkedin.com/company/plaid-?trk=public_jobs_jserp-result_job-search-card-subtitle
12,"
            
        Software Engineer, Intern
      
          ","

            Stripe
          
",https://www.linkedin.com/company/stripe?trk=public_jobs_jserp-result_job-search-card-subtitle
13,"
            
        Software Engineer (New Grad)
      
          ","

            Magna
          
",https://www.linkedin.com/company/magnatokens?trk=public_jobs_jserp-result_job-search-card-subtitle
14,"
            
        Frontend Engineer
      
          ","

            Porter
          
",https://www.linkedin.com/company/porterrun?trk=public_jobs_jserp-result_job-search-card-subtitle
15,"
            
        Software Engineer (C++) – 2025 Grads
      
          ","

            Hudson River Trading
          
",https://www.linkedin.com/company/hudson-river-trading?trk=public_jobs_jserp-result_job-search-card-subtitle
16,"
            
        Software Engineer, Frontend (All Teams)
      
          ","

            DoorDash
          
",https://www.linkedin.com/company/doordash?trk=public_jobs_jserp-result_job-search-card-subtitle
17,"
            
        Software Engineer, Machine Learning
      
          ","

            Notion
          
",https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle
18,"
            
        Software Engineer - Fullstack
      
          ","

            Plaid
          
",https://www.linkedin.com/company/plaid-?trk=public_jobs_jserp-result_job-search-card-subtitle
19,"
            
        Software Engineer Internship | Frontend
      
          ","

            Ramp
          
",https://www.linkedin.com/company/ramp?trk=public_jobs_jserp-result_job-search-card-subtitle
20,"
            
        Software Engineer, Trust
      
          ","

            Notion
          
",https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle
21,"
            
        Software Engineer - Intern (2025)
      
          ","

            Figma
          
",https://www.linkedin.com/company/figma?trk=public_jobs_jserp-result_job-search-card-subtitle
22,"
            
        Software Engineer, Frontend
      
          ","

            Squarespace
          
",https://www.linkedin.com/company/squarespace?trk=public_jobs_jserp-result_job-search-card-subtitle
23,"
            
        Software Engineer
      
          ","

            Fizz
          
",https://www.linkedin.com/company/joinfizz?trk=public_jobs_jserp-result_job-search-card-subtitle
24,"
            
        Full-Stack Software Engineer
      
          ","

            Rain
          
",https://www.linkedin.com/company/rainxyz?trk=public_jobs_jserp-result_job-search-card-subtitle
25,"
            
        Frontend Software Engineer Intern
      
          ","

            Rose AI
          
",https://www.linkedin.com/company/roseai?trk=public_jobs_jserp-result_job-search-card-subtitle
26,"
            
        Fullstack software engineer (web) - HTS
      
          ","

            Hopper
          
",https://ca.linkedin.com/company/hopper?trk=public_jobs_jserp-result_job-search-card-subtitle
27,"
            
        Software Engineer, Marketplace
      
          ","

            Lyft
          
",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
28,"
            
        Software Engineer
      
          ","

            Check
          
",https://www.linkedin.com/company/check-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle
29,"
            
        Software Engineer, Full Stack
      
          ","

            Candid Health
          
",https://www.linkedin.com/company/candid-health?trk=public_jobs_jserp-result_job-search-card-subtitle
30,"
            
        Software Engineer, Machine Learning
      
          ","

            Notion
          
",https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle
31,"
            
        Software Engineer Internship | Backend
      
          ","

            Ramp
          
",https://www.linkedin.com/company/ramp?trk=public_jobs_jserp-result_job-search-card-subtitle
32,"
            
        Software Engineer - Full Stack
      
          ","

            Dripos
          
",https://www.linkedin.com/company/dripos?trk=public_jobs_jserp-result_job-search-card-subtitle
33,"
            
        Software Engineer
      
          ","

            Brellium
          
",https://www.linkedin.com/company/brellium?trk=public_jobs_jserp-result_job-search-card-subtitle
34,"
            
        Software Engineer
      
          ","

            Twitch
          
",https://www.linkedin.com/company/twitch-tv?trk=public_jobs_jserp-result_job-search-card-subtitle
35,"
            
        Software Engineer - Backend / Fullstack
      
          ","

            Vellum
          
",https://www.linkedin.com/company/vellumai?trk=public_jobs_jserp-result_job-search-card-subtitle
36,"
            
        University Grad 2025: Software Engineer - Frontend
      
          ","

            Ramp
          
",https://www.linkedin.com/company/ramp?trk=public_jobs_jserp-result_job-search-card-subtitle
