,job_title,company,job_app_link
0,"<h3 class=""base-search-card__title"">
            
        Software Engineer - Early Career (2025)
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/figma?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Figma
          </a>
</h4>","
            Figma
          "
1,"<h3 class=""base-search-card__title"">
            
        Software Engineer Intern (Summer 2025)
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Notion
          </a>
</h4>","
            Notion
          "
2,"<h3 class=""base-search-card__title"">
            
        Software Engineer Intern (Winter 2025)
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Notion
          </a>
</h4>","
            Notion
          "
3,"<h3 class=""base-search-card__title"">
            
        Software Engineer Intern, Mobile (Summer 2025)
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Notion
          </a>
</h4>","
            Notion
          "
4,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Calendar
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Notion
          </a>
</h4>","
            Notion
          "
5,"<h3 class=""base-search-card__title"">
            
        Software Engineer (Full-Stack)
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/pacesai?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Paces
          </a>
</h4>","
            Paces
          "
6,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Search
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Notion
          </a>
</h4>","
            Notion
          "
7,"<h3 class=""base-search-card__title"">
            
        Software Engineer (Full-Stack)
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/pacesai?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Paces
          </a>
</h4>","
            Paces
          "
8,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Web
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/unitedmasters?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            UnitedMasters
          </a>
</h4>","
            UnitedMasters
          "
9,"<h3 class=""base-search-card__title"">
            
        Software Engineer Intern, Mobile (Winter 2025)
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Notion
          </a>
</h4>","
            Notion
          "
10,"<h3 class=""base-search-card__title"">
            
        Full Stack Engineer
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/porterrun?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Porter
          </a>
</h4>","
            Porter
          "
11,"<h3 class=""base-search-card__title"">
            
        Software Engineer - Backend
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/plaid-?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Plaid
          </a>
</h4>","
            Plaid
          "
12,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Intern
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/stripe?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Stripe
          </a>
</h4>","
            Stripe
          "
13,"<h3 class=""base-search-card__title"">
            
        Software Engineer (New Grad)
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/magnatokens?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Magna
          </a>
</h4>","
            Magna
          "
14,"<h3 class=""base-search-card__title"">
            
        Frontend Engineer
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/porterrun?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Porter
          </a>
</h4>","
            Porter
          "
15,"<h3 class=""base-search-card__title"">
            
        Software Engineer (C++) – 2025 Grads
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/hudson-river-trading?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Hudson River Trading
          </a>
</h4>","
            Hudson River Trading
          "
16,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Frontend (All Teams)
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/doordash?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            DoorDash
          </a>
</h4>","
            DoorDash
          "
17,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Machine Learning
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Notion
          </a>
</h4>","
            Notion
          "
18,"<h3 class=""base-search-card__title"">
            
        Software Engineer - Fullstack
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/plaid-?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Plaid
          </a>
</h4>","
            Plaid
          "
19,"<h3 class=""base-search-card__title"">
            
        Software Engineer Internship | Frontend
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/ramp?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Ramp
          </a>
</h4>","
            Ramp
          "
20,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Trust
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Notion
          </a>
</h4>","
            Notion
          "
21,"<h3 class=""base-search-card__title"">
            
        Software Engineer - Intern (2025)
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/figma?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Figma
          </a>
</h4>","
            Figma
          "
22,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Frontend
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/squarespace?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Squarespace
          </a>
</h4>","
            Squarespace
          "
23,"<h3 class=""base-search-card__title"">
            
        Software Engineer
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/joinfizz?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Fizz
          </a>
</h4>","
            Fizz
          "
24,"<h3 class=""base-search-card__title"">
            
        Full-Stack Software Engineer
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/rainxyz?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Rain
          </a>
</h4>","
            Rain
          "
25,"<h3 class=""base-search-card__title"">
            
        Frontend Software Engineer Intern
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/roseai?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Rose AI
          </a>
</h4>","
            Rose AI
          "
26,"<h3 class=""base-search-card__title"">
            
        Fullstack software engineer (web) - HTS
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://ca.linkedin.com/company/hopper?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Hopper
          </a>
</h4>","
            Hopper
          "
27,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Marketplace
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Lyft
          </a>
</h4>","
            Lyft
          "
28,"<h3 class=""base-search-card__title"">
            
        Software Engineer
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/check-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Check
          </a>
</h4>","
            Check
          "
29,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Full Stack
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/candid-health?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Candid Health
          </a>
</h4>","
            Candid Health
          "
30,"<h3 class=""base-search-card__title"">
            
        Software Engineer, Machine Learning
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Notion
          </a>
</h4>","
            Notion
          "
31,"<h3 class=""base-search-card__title"">
            
        Software Engineer Internship | Backend
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/ramp?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Ramp
          </a>
</h4>","
            Ramp
          "
32,"<h3 class=""base-search-card__title"">
            
        Software Engineer - Full Stack
      
          </h3>","<h4 class=""base-search-card__subtitle"">
<a class=""hidden-nested-link"" data-tracking-client-ingraph="""" data-tracking-control-name=""public_jobs_jserp-result_job-search-card-subtitle"" data-tracking-will-navigate="""" href=""https://www.linkedin.com/company/dripos?trk=public_jobs_jserp-result_job-search-card-subtitle"">
            Dripos
          </a>
</h4>","
            Dripos
          "
